V1,Date,USDPM,Value,DealDay,黄金涨幅,比特币涨幅,黄金15日均价,黄金15日乖离率,比特币5日均价,比特币5日乖离率,当前黄金投资占比,当前比特币投资占比,黄金投资风险,比特币投资风险,黄金持有份额,比特币持有份额,现金持有份额,总资产,总资产变化率,当前黄金利润,当前比特币利润,牛市,黄金15日后预计份额,预计黄金涨幅,比特币5日后预计份额,预计比特币涨幅,预计现金持有份额,预计总资产,预计总资产变化率,黄金牛市,gold_cow,比特币牛市,bt_cow,黄金购买风险,比特币购买风险,黄金预测spss_黄金涨幅_模型_1,黄金残差spss_黄金涨幅_模型_1,黄金预测spss_比特币涨幅_模型_1,黄金残差spss_比特币涨幅_模型_1
0,42624,0,621.65,0,.566144708423326,.51008037949664,0,.571622156205499,0,.550392333531804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.494444444444445,-1,.516666666666667,1,.519650178016431,.527380647066091,.567551751577443,-.00140704315411699,.511728190507375,-.00164781101073519
1,42625,1324.6,609.67,1,.566144708423326,.509355646330215,0,.571622156205499,0,.550392333531804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.488888888888889,-2,.533333333333333,2,.515950178016431,.538480647066091,.567551751577443,-.00140704315411699,.51185531352377,-.00249966719355557
2,42626,1323.65,610.92,1,.561015118790498,.510146264329951,0,.571622156205499,0,.550392333531804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.483333333333333,-3,.55,3,.512250178016431,.549580647066091,.567527547657322,-.00651242886682461,.511779243456555,-.00163297912660346
3,42627,1321.75,608.82,1,.555885529157667,.509948609830017,0,.571622156205499,0,.550392333531804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.477777777777778,-4,.566666666666667,4,.508550178016431,.560680647066091,.567527547657322,-.0116420184996554,.511662257131633,-.00171364730161602
4,42628,1310.8,610.38,1,.507019438444924,.510146264329951,0,.571622156205499,.00983376357762125,.54535616960055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.472222222222222,-5,.583333333333333,5,.504850178016431,.570103604476983,.567431735554102,-.0604122971091777,.511729796820969,-.00158353249101747
5,42629,1308.35,609.11,1,.552915766738661,.510014494663328,0,.571622156205499,.0097934833842275,.548616595637603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.466666666666667,-6,.6,6,.501150178016431,.582289326347322,.567344012658155,-.0144282459194948,.511704139210251,-.00168964454692249
6,42630,1308.35,607.04,0,.566144708423326,.509948609830017,0,.571622156205499,.00978503546487937,.544519381370881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.461111111111111,-7,.616666666666667,7,.497450178016431,.592024953996503,.56657063621645,-.000425927793123517,.511736466390353,-.0017878565603361
7,42631,1308.35,611.58,0,.566144708423326,.510343918829885,0,.571622156205499,.00978715547505799,.55621097217071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.455555555555555,-8,.633333333333333,8,.493750178016431,.607018253732846,.567343246785916,-.00119853836258966,.51172952063571,-.00138560180582476
8,42632,1314.85,610.19,1,.601241900647948,.510014494663328,0,.571622156205499,.00979155610224694,.551797298202978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.45,-9,.65,9,.490050178016431,.616648500301592,.567750525200868,.0334913754470803,.511803779538569,-.00178928487524036
9,42633,1313.8,608.66,1,.560475161987041,.510014494663328,0,.571622156205499,.00978603122723599,.548652376622818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.444444444444444,-10,.666666666666667,10,.486350178016431,.626701241415398,.568609066478311,-.00813390449126984,.511932314240959,-.00191781957763091
